elapsed_s,phase,cpu_millicores
0.1,rampup,0.0
5.2,rampup,0.0
10.3,rampup,0.0
15.4,rampup,0.0
20.5,rampup,1.0
25.6,rampup,1.0
30.7,rampup,1.0
35.8,rampup,2.0
40.9,sustained,2.0
46.0,sustained,2.0
51.2,sustained,3.0
56.3,sustained,3.0
61.4,sustained,3.0
66.5,sustained,3.0
71.6,sustained,3.0
76.7,sustained,3.0
81.8,sustained,3.0
86.9,sustained,3.0
92.0,sustained,3.0
97.1,sustained,3.0
102.2,sustained,3.0
107.3,sustained,3.0
112.4,sustained,3.0
117.5,sustained,3.0
122.6,sustained,3.0
127.7,sustained,3.0
132.9,sustained,3.0
138.0,sustained,3.0
143.1,sustained,3.0
148.2,sustained,3.0
153.3,sustained,3.0
158.4,sustained,3.0
163.5,sustained,3.0
168.6,sustained,3.0
173.7,burst,3.0
178.8,burst,3.0
183.9,burst,3.0
189.0,burst,4.0
194.1,burst,4.0
199.2,burst,4.0
204.3,burst,5.0
209.4,burst,5.0
214.5,burst,5.0
219.6,burst,5.0
224.7,burst,5.0
229.8,burst,5.0
234.9,burst,5.0
240.0,burst,5.0
245.1,burst,5.0
250.3,burst,5.0
255.4,burst,5.0
260.5,burst,2.0
265.6,burst,2.0
