elapsed_s,phase,cpu_millicores
0.1,rampup,1.0
5.2,rampup,1.0
10.3,rampup,0.0
15.5,rampup,0.0
20.6,rampup,0.0
25.7,rampup,0.0
30.8,rampup,0.0
35.9,rampup,0.0
41.0,sustained,0.0
46.2,sustained,0.0
51.3,sustained,0.0
56.4,sustained,0.0
61.5,sustained,0.0
66.6,sustained,0.0
71.7,sustained,0.0
76.8,sustained,0.0
81.9,sustained,0.0
87.0,sustained,0.0
92.2,sustained,0.0
97.3,sustained,0.0
102.4,sustained,0.0
107.5,sustained,0.0
112.6,sustained,0.0
117.7,sustained,0.0
122.8,sustained,0.0
127.9,sustained,0.0
133.0,sustained,0.0
138.1,sustained,0.0
143.2,sustained,0.0
148.3,sustained,0.0
153.4,sustained,0.0
158.5,sustained,0.0
163.6,sustained,0.0
168.7,sustained,0.0
173.9,burst,0.0
179.0,burst,0.0
184.1,burst,0.0
189.2,burst,0.0
194.3,burst,0.0
199.4,burst,0.0
204.5,burst,0.0
209.6,burst,0.0
214.7,burst,0.0
219.8,burst,0.0
224.9,burst,0.0
230.0,burst,0.0
235.1,burst,0.0
240.2,burst,0.0
245.3,burst,0.0
250.4,burst,0.0
255.5,burst,0.0
260.7,burst,0.0
265.8,burst,0.0
