elapsed_s,phase,cpu_millicores
0.1,rampup,2.0
5.2,rampup,0.0
10.3,rampup,0.0
15.4,rampup,0.0
20.5,rampup,0.0
25.6,rampup,0.0
30.7,rampup,0.0
35.8,rampup,0.0
40.9,sustained,0.0
46.0,sustained,0.0
51.1,sustained,0.0
56.2,sustained,0.0
61.3,sustained,0.0
66.4,sustained,0.0
71.5,sustained,0.0
76.6,sustained,0.0
81.7,sustained,0.0
86.8,sustained,0.0
91.9,sustained,0.0
97.0,sustained,0.0
102.1,sustained,0.0
107.2,sustained,0.0
112.3,sustained,0.0
117.4,sustained,0.0
122.6,sustained,0.0
127.7,sustained,0.0
132.8,sustained,0.0
137.9,sustained,0.0
143.0,sustained,0.0
148.1,sustained,0.0
153.2,sustained,0.0
158.3,sustained,0.0
163.4,sustained,0.0
168.5,sustained,0.0
173.6,burst,0.0
178.7,burst,0.0
183.8,burst,0.0
188.9,burst,0.0
194.0,burst,0.0
199.1,burst,0.0
204.2,burst,0.0
209.3,burst,0.0
214.4,burst,0.0
219.5,burst,0.0
224.6,burst,0.0
229.7,burst,0.0
234.8,burst,0.0
239.9,burst,0.0
245.0,burst,0.0
250.1,burst,0.0
255.2,burst,0.0
260.3,burst,0.0
265.4,burst,0.0
